Timestamp,Temp,IAQ,Volume,Hum,VOC,Arbeitsplatz_besetzt,Fenster_offen,Regen
"31.7.2025, 12:41:01",20.24,77.33,47.14,49.07,0.93,1,0,0
"31.7.2025, 12:41:05",20.24,77.21,47.37,49.06,0.93,1,0,0
"31.7.2025, 12:41:09",20.25,77.12,47.68,49.05,0.92,1,0,0
"31.7.2025, 12:41:13",20.27,77.44,47.72,49.01,0.93,1,0,0
"31.7.2025, 12:41:17",20.28,77.4,48,49.01,0.93,1,0,0
"31.7.2025, 12:41:21",20.29,77.28,48.07,49,0.93,1,0,0
"31.7.2025, 12:41:25",20.31,77.22,48.24,49.02,0.93,1,0,0
"31.7.2025, 12:41:29",20.32,77.35,48.39,48.99,0.93,1,0,0
"31.7.2025, 12:41:33",20.32,77.58,48.46,49.01,0.93,1,0,0
"31.7.2025, 12:41:37",20.34,77.57,48.56,49.01,0.93,1,0,0
"31.7.2025, 12:41:41",20.36,77.49,48.69,49,0.93,1,0,0
"31.7.2025, 12:43:21",20.67,78.86,49.77,48.74,0.96,1,0,0
"31.7.2025, 12:43:25",20.69,79.05,49.86,48.67,0.97,1,0,0
"31.7.2025, 12:43:29",20.69,79.07,49.95,48.68,0.97,1,0,0
"31.7.2025, 12:43:33",20.71,79.24,50.1,48.66,0.97,1,0,0
"31.7.2025, 12:43:37",20.72,79.29,50.16,48.65,0.97,1,0,0
"31.7.2025, 12:43:41",20.73,79.29,50.2,48.65,0.97,1,0,0
"31.7.2025, 12:43:45",20.75,78.96,50.13,48.67,0.96,1,0,0
"31.7.2025, 12:43:49",20.76,79.07,50.21,48.62,0.97,1,0,0
"31.7.2025, 12:43:53",20.77,79.28,50.27,48.61,0.97,1,0,0
"31.7.2025, 12:43:57",20.78,79.66,50.38,48.59,0.98,1,0,0
"31.7.2025, 12:44:01",20.78,79.54,50.52,48.6,0.98,1,0,0
"31.7.2025, 12:44:05",20.8,79.59,50.55,48.59,0.98,1,0,0
"31.7.2025, 12:44:09",20.82,79.54,50.66,48.57,0.98,1,0,0
"31.7.2025, 12:44:13",20.82,79.84,50.69,48.56,0.98,1,0,0
"31.7.2025, 12:47:17",21.32,75.96,47.77,48.07,0.9,1,0,0
"31.7.2025, 12:47:21",21.33,75.66,47.71,48.05,0.89,1,0,0
"31.7.2025, 12:47:25",21.33,75.6,47.68,48.06,0.89,1,0,0
"31.7.2025, 12:47:29",21.35,74.64,47.62,48.04,0.87,1,0,0
"31.7.2025, 12:47:33",21.35,74.75,47.63,48.01,0.88,1,0,0
"31.7.2025, 12:47:37",21.36,74.4,47.59,48.01,0.87,1,0,0
"31.7.2025, 12:47:41",21.38,74.71,47.51,48.01,0.88,1,0,0
"31.7.2025, 12:47:45",21.39,74.64,47.49,48,0.87,1,0,0
"31.7.2025, 12:47:49",21.39,74.56,47.39,47.99,0.87,1,0,0
"31.7.2025, 12:47:53",21.4,74.37,47.33,47.99,0.87,1,0,0
"31.7.2025, 12:47:57",21.42,74.32,47.24,47.96,0.87,1,0,0
"31.7.2025, 12:48:01",21.42,74.5,47.18,47.99,0.87,1,0,0
"31.7.2025, 12:48:05",21.43,74.47,47.13,47.96,0.87,1,0,0
"31.7.2025, 12:48:09",21.44,74.89,47.11,47.94,0.88,1,0,0
"31.7.2025, 12:48:13",21.45,74.82,47.15,47.94,0.88,1,0,0
